tg dimX dimY
99 9.78600025177002 904 296
100 9.57100009918213 904 297
101 9.77099990844727 907 297
102 9.55700016021729 907 298
103 9.78600025177002 902 299
104 9.78600025177002 902 299
105 9.4709997177124 907 299
106 9.35700035095215 907 300
107 9.24300003051758 903 300
108 9.17099952697754 903 301
109 9.71399974822998 906 301
110 9.91399955749512 906 302
111 9.6569995880127 900 303
112 9.6569995880127 900 303
113 10.0430002212524 905 303
114 10.21399974823 905 304
115 10 901 305
116 9.80000019073486 902 305
117 10.1000003814697 905 305
118 10.28600025177 905 306
119 10.1569995880127 902 307
120 10.1569995880127 902 307
121 10.1709995269775 905 307
122 9.17099952697754 903 301
123 9.17099952697754 903 301
124 9.60000038146973 900 300
125 9.60000038146973 900 300
126 9.57100009918213 900 299
127 9.5 900 293
128 9.75699996948242 901 298
129 9.68599987030029 902 293
130 9.57100009918213 900 299
131 9.41399955749512 899 294
132 9.67099952697754 938 278
133 9.80000019073486 937 278
134 9.51399993896484 937 282
135 9.51399993896484 937 282
136 9.3430004119873 917 181
137 9.30000019073486 917 182
138 9.19999980926514 921 182
139 9.19999980926514 921 183
140 9.25699996948242 917 185
141 9.10000038146973 917 186
142 8.77099990844727 921 186
143 9 921 187
144 9.35700035095215 918 189
145 9.32900047302246 917 188
146 9.08600044250488 918 192
147 9.12899971008301 917 192
148 7.45699977874756 1091 150
149 7.41400003433228 1087 150
150 7.38600015640259 1089 150
151 7.34299993515015 1086 150
152 9.11400032043457 981 130
153 9.11400032043457 981 130
154 7.95699977874756 986 130
155 7.95699977874756 986 130
156 9.04300022125244 986 131
157 9.07100009918213 985 132
158 9.17099952697754 980 131
159 9.18599987030029 979 132
160 9.04300022125244 983 132
161 9.04300022125244 983 132
162 9.21399974822998 979 133
163 8.88599967956543 979 134
164 9.05700016021729 984 133
165 8.95699977874756 984 134
166 9.1569995880127 977 136
167 9.32900047302246 976 137
168 8.4709997177124 980 136
169 8.42899990081787 980 137
170 9.27099990844727 976 138
171 9.30000019073486 976 139
172 8.37100028991699 979 139
173 8.37100028991699 979 139
174 9.37100028991699 975 140
175 9.3430004119873 975 141
176 8.48600006103516 978 141
177 8.51399993896484 979 141
178 9.27099990844727 976 142
179 9.0290002822876 977 143
180 8.38599967956543 981 142
181 8.45699977874756 981 143
182 8.95699977874756 977 144
183 8.58600044250488 982 144
184 8.51399993896484 979 141
185 8.48600006103516 978 141
186 8.5290002822876 982 139
187 8.5290002822876 982 139
188 8.37100028991699 979 139
189 8.4709997177124 979 138
190 8.39999961853027 983 137
191 8.39999961853027 983 137
192 8.42899990081787 980 137
193 8.4709997177124 980 136
194 8.85700035095215 983 135
195 8.85700035095215 983 135
196 8.94299983978271 983 129
197 9.48600006103516 972 146
198 9.14299964904785 972 149
199 9.61400032043457 971 150
200 9.61400032043457 971 150
201 8.6569995880127 974 150
202 8.45699977874756 974 151
203 9.75699996948242 970 152
204 9.3430004119873 970 153
205 8.19999980926514 975 152
206 8.11400032043457 975 153
207 9.82900047302246 969 154
208 9.85700035095215 969 155
209 8.07100009918213 973 154
210 8.5 973 155
211 9.88599967956543 969 156
212 9.88599967956543 969 157
213 8.67099952697754 973 157
214 8.92899990081787 972 157
215 9.89999961853027 967 159
216 9.89999961853027 967 159
217 8.27099990844727 971 159
218 9.3430004119873 970 160
219 9.69999980926514 967 161
220 9.74300003051758 966 162
221 9.67099952697754 969 161
222 9 970 162
223 9.17099952697754 966 163
224 9.61400032043457 965 164
225 9.41399955749512 968 164
226 9.41399955749512 968 164
227 10.1429996490479 965 165
228 9.91399955749512 973 162
229 9.57100009918213 973 161
230 9.57100009918213 973 161
