rr dimX dimY
161 11 983 132
162 10.8000001907349 979 133
163 10.8999996185303 979 134
164 10.6999998092651 984 133
165 10.6999998092651 984 134
166 10.6999998092651 977 136
167 10.3999996185303 976 137
168 11.1000003814697 980 136
169 10.8999996185303 980 137
170 10.3999996185303 976 138
171 10.3000001907349 976 139
172 10.6999998092651 979 139
173 10.6999998092651 979 139
174 10.1999998092651 975 140
175 10.1999998092651 975 141
176 10.6000003814697 978 141
177 10.3999996185303 979 141
178 10.1000003814697 976 142
179 10.1999998092651 977 143
180 10.6000003814697 981 142
181 10.5 981 143
182 9.89999961853027 977 144
183 10.1999998092651 982 144
184 10.3999996185303 979 141
185 10.6000003814697 978 141
186 10.6000003814697 982 139
187 10.6000003814697 982 139
188 10.6999998092651 979 139
189 10.6000003814697 979 138
190 10.8000001907349 983 137
191 10.8000001907349 983 137
192 10.8999996185303 980 137
193 11.1000003814697 980 136
194 10.8000001907349 983 135
195 10.8000001907349 983 135
196 11.3999996185303 983 129
197 9.5 972 146
198 9.39999961853027 972 149
199 9.39999961853027 971 150
200 9.39999961853027 971 150
201 9.89999961853027 974 150
202 9.80000019073486 974 151
203 9.10000038146973 970 152
204 9.10000038146973 970 153
205 9.69999980926514 975 152
206 9.80000019073486 975 153
207 9.10000038146973 969 154
208 9.10000038146973 969 155
209 9.89999961853027 973 154
210 9.69999980926514 973 155
211 9 969 156
212 8.89999961853027 969 157
213 9.5 973 157
214 9.19999980926514 972 157
215 8.69999980926514 967 159
216 8.69999980926514 967 159
217 9.39999961853027 971 159
218 8.60000038146973 970 160
219 8.69999980926514 967 161
220 8.69999980926514 966 162
221 8.60000038146973 969 161
222 8.80000019073486 970 162
223 8.89999961853027 966 163
224 8.69999980926514 965 164
225 8.80000019073486 968 164
226 8.80000019073486 968 164
227 8.39999961853027 965 165
228 8.5 973 162
229 8.5 973 161
230 8.5 973 161
231 8.60000038146973 969 161
232 8.60000038146973 970 160
233 8.60000038146973 970 160
234 8.80000019073486 974 158
235 8.5 975 158
236 9.19999980926514 971 158
237 9.19999980926514 972 157
238 9.39999961853027 974 156
239 9 975 156
240 9.80000019073486 975 153
241 9.30000019073486 976 152
242 9.80000019073486 963 228
243 10 965 230
244 15.1000003814697 1175 198
245 14.8999996185303 1174 201
246 14.8999996185303 1175 201
247 15 1179 199
248 9.80000019073486 1127 269
249 9.5 1128 272
250 9.5 1131 273
251 9.39999961853027 1128 273
252 9.69999980926514 1130 270
253 10.1999998092651 1130 266
254 10.6000003814697 1129 262
255 10.3000001907349 1131 264
256 10.6000003814697 1121 257
257 10.5 1123 260
258 11.6000003814697 1129 251
259 11.6999998092651 1129 249
260 14 1143 226
261 14.1000003814697 1140 225
262 14.1000003814697 1146 225
263 14.3000001907349 1147 222
264 9.80000019073486 1063 157
265 10.1000003814697 1065 161
266 15.8000001907349 1133 155
267 15.6000003814697 1132 151
268 18.5 1154 132
269 18.6000003814697 1153 133
270 18.5 1152 130
271 18.3999996185303 1151 130
272 10.5 872 300
273 10.5 873 301
274 10.5 874 303
275 10.6000003814697 875 304
276 10.5 874 303
277 10.6000003814697 875 304
278 10.5 872 301
279 10.5 873 301
280 14.8000001907349 1188 203
281 14.8999996185303 1188 200
282 9.10000038146973 848 153
283 8.69999980926514 847 156
284 10.6999998092651 942 277
285 11.1000003814697 943 281
286 10.8000001907349 976 246
287 10.8999996185303 973 248
288 13.3999996185303 1035 139
289 13.1999998092651 1035 142
290 10.3000001907349 1020 162
291 10 1016 162
292 13.8999996185303 928 88
293 13.8999996185303 926 89
294 13.8999996185303 927 89
295 13.8000001907349 927 91
296 12.3999996185303 902 101
297 12.3000001907349 903 104
298 12.3999996185303 902 100
299 12.3999996185303 902 97
300 14.5 1102 142
301 14.8999996185303 1100 140
302 12.5 1100 147
303 13 1099 144
304 10.5 937 155
305 10.6000003814697 939 158
306 10.8000001907349 942 152
307 11 942 147
308 14.3999996185303 1130 205
309 14.3000001907349 1130 208
310 14.1999998092651 1120 202
311 14 1117 201
312 10.1000003814697 1031 195
313 10.3999996185303 1032 192
314 13.5 1041 140
315 13.6999998092651 1044 140
316 11.6999998092651 1052 176
317 11.6000003814697 1051 173
318 11.3000001907349 1049 179
319 11 1046 180
320 15.8999996185303 1135 152
321 16.6000003814697 1139 150
