area	region	plot	habtiat	year	season	session	Mruf	Mrut	rodsp	Moec	Llem
varanger	stjernevann	stg6	greysided	2004	fall	2004fall	3	0	0	1	0
varanger	stjernevann	stg7	greysided	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stg8	greysided	2004	fall	2004fall	1	0	0	0	0
varanger	stjernevann	stg9	greysided	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stl1	lemming	2004	fall	2004fall	0	0	0	0	0
varanger	stjernevann	stl10	lemming	2004	fall	2004fall	1	0	0	4	0
varanger	stjernevann	stl11	lemming	2004	fall	2004fall	0	0	0	1	0
varanger	stjernevann	stl12	lemming	2004	fall	2004fall	0	0	0	1	0
varanger	stjernevann	stl13	lemming	2004	fall	2004fall	0	0	0	2	0
varanger	stjernevann	stl14	lemming	2004	fall	2004fall	0	0	0	0	0
varanger	stjernevann	stl2	lemming	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stl3	lemming	2004	fall	2004fall	2	0	0	0	0
varanger	stjernevann	stl4	lemming	2004	fall	2004fall	1	0	0	0	0
varanger	stjernevann	stl5	lemming	2004	fall	2004fall	0	0	0	0	0
varanger	stjernevann	stl6	lemming	2004	fall	2004fall	1	0	0	0	1
varanger	stjernevann	stl7	lemming	2004	fall	2004fall	1	0	0	5	0
varanger	stjernevann	stl8	lemming	2004	fall	2004fall	0	0	0	0	0
varanger	stjernevann	stl9	lemming	2004	fall	2004fall	0	0	0	1	0
varanger	vestre_jakobselv	vj1	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj10	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj11	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj2	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj3	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj4	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj5	NA	2004	fall	2004fall	5	0	0	0	0
varanger	vestre_jakobselv	vj6	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj7	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj8	NA	2004	fall	2004fall	0	0	0	0	0
varanger	vestre_jakobselv	vj9	NA	2004	fall	2004fall	0	0	0	0	0
varanger	bekkarfjord	bfg1	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg2	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg3	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg4	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg5	greysided	2005	spring	2005spring	2	0	0	0	0
varanger	bekkarfjord	bfg6	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg7	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfg8	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl1	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl10	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl2	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl3	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl4	lemming	2005	spring	2005spring	0	0	0	0	1
varanger	bekkarfjord	bfl5	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl6	lemming	2005	spring	2005spring	1	0	0	0	0
varanger	bekkarfjord	bfl7	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	bekkarfjord	bfl8	lemming	2005	spring	2005spring	1	0	0	0	0
varanger	bekkarfjord	bfl9	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg1	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg2	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg3	greysided	2005	spring	2005spring	0	0	0	0	1
varanger	ifjordfjellet	ifg4	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg5	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg6	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg7	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifg8	greysided	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl1	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl10	lemming	2005	spring	2005spring	0	0	0	0	0
varanger	ifjordfjellet	ifl2	lemming	2005	spring	2005spring	0	0	0	0	0
