region	plot	year	season	Llem	Moec	Mruf	Mrut	rodsp
vestre_jakobselv	vj7	2006	fall	3	1	6	0	0
vestre_jakobselv	vj8	2006	fall	1	1	2	0	0
vestre_jakobselv	vj9	2006	fall	0	1	1	0	0
bekkarfjord	bfg1	2007	fall	5	0	3	0	0
bekkarfjord	bfg2	2007	fall	0	0	9	0	0
bekkarfjord	bfg3	2007	fall	7	0	4	0	0
bekkarfjord	bfg4	2007	fall	2	0	6	0	0
bekkarfjord	bfg5	2007	fall	1	6	1	0	0
bekkarfjord	bfg6	2007	fall	5	0	3	0	0
bekkarfjord	bfg7	2007	fall	1	0	10	0	0
bekkarfjord	bfg8	2007	fall	1	0	14	0	0
bekkarfjord	bfl1	2007	fall	3	0	10	0	0
bekkarfjord	bfl10	2007	fall	2	0	11	0	0
bekkarfjord	bfl2	2007	fall	7	0	3	0	0
bekkarfjord	bfl3	2007	fall	4	0	1	0	0
bekkarfjord	bfl4	2007	fall	5	0	4	0	0
bekkarfjord	bfl5	2007	fall	4	0	2	0	0
bekkarfjord	bfl6	2007	fall	2	0	2	0	0
bekkarfjord	bfl7	2007	fall	0	0	6	0	0
bekkarfjord	bfl8	2007	fall	2	0	1	0	0
bekkarfjord	bfl9	2007	fall	1	0	9	0	0
nordkynn	hog1	2007	fall	3	0	2	0	0
nordkynn	hog10	2007	fall	3	0	3	0	0
nordkynn	hog2	2007	fall	0	0	3	0	0
nordkynn	hog3	2007	fall	0	0	7	0	0
nordkynn	hog4	2007	fall	1	0	5	0	0
nordkynn	hog5	2007	fall	0	2	5	0	0
nordkynn	hog6	2007	fall	0	0	0	0	0
nordkynn	hog7	2007	fall	1	0	0	0	0
nordkynn	hog8	2007	fall	0	0	1	0	0
nordkynn	hog9	2007	fall	3	0	3	0	0
nordkynn	hol1	2007	fall	5	0	5	0	0
nordkynn	hol10	2007	fall	4	0	3	0	0
nordkynn	hol11	2007	fall	2	0	0	0	1
nordkynn	hol12	2007	fall	1	0	1	0	0
nordkynn	hol13	2007	fall	1	0	3	0	0
nordkynn	hol14	2007	fall	7	0	3	0	0
nordkynn	hol2	2007	fall	5	0	5	0	0
nordkynn	hol3	2007	fall	2	0	6	0	0
nordkynn	hol4	2007	fall	0	1	3	0	0
nordkynn	hol5	2007	fall	3	0	4	0	0
nordkynn	hol6	2007	fall	3	0	3	0	0
nordkynn	hol7	2007	fall	4	0	1	0	0
nordkynn	hol8	2007	fall	1	0	3	0	1
nordkynn	hol9	2007	fall	0	0	2	0	0
ifjordfjellet	ifg1	2007	fall	4	1	10	0	0
ifjordfjellet	ifg2	2007	fall	0	0	13	0	0
ifjordfjellet	ifg3	2007	fall	7	1	8	0	0
ifjordfjellet	ifg4	2007	fall	3	0	8	0	0
ifjordfjellet	ifg5	2007	fall	5	0	5	0	0
ifjordfjellet	ifg6	2007	fall	1	1	9	0	0
ifjordfjellet	ifg7	2007	fall	2	5	8	0	0
